,0,1,2,3,4,5,6,7,8
123,COO,CooperCompanies,Health Care,Health Care Supplies,QQ1,2024,2024-02-29 00:00:00,"{'neg': 0.027, 'neu': 0.698, 'pos': 0.275, 'compound': 1.0}",1
124,CPRT,Copart,Industrials,Diversified Support Services,QQ1,2024,2023-11-16 22:45:26,"{'neg': 0.034, 'neu': 0.742, 'pos': 0.224, 'compound': 1.0}",1
125,GLW,Corning Inc.,Information Technology,Electronic Components,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.023, 'neu': 0.741, 'pos': 0.236, 'compound': 1.0}",1
126,CPAY,Corpay,Financials,Transaction & Payment Processing Services,QQ1,2024,2024-05-09 01:18:07,"{'neg': 0.033, 'neu': 0.743, 'pos': 0.224, 'compound': 1.0}",1
127,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.024, 'neu': 0.78, 'pos': 0.196, 'compound': 1.0}",1
128,CSGP,CoStar Group,Real Estate,Real Estate Services,QQ1,2024,2024-04-23 23:35:23,"{'neg': 0.021, 'neu': 0.758, 'pos': 0.221, 'compound': 1.0}",1
129,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,QQ1,2024,2023-12-14 22:00:26,"{'neg': 0.024, 'neu': 0.753, 'pos': 0.223, 'compound': 1.0}",1
130,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,QQ1,2024,2024-05-03 00:00:00,"{'neg': 0.035, 'neu': 0.733, 'pos': 0.232, 'compound': 1.0}",1
131,CCI,Crown Castle,Real Estate,Telecom Tower REITs,QQ1,2024,2024-04-17 19:51:10,"{'neg': 0.026, 'neu': 0.699, 'pos': 0.276, 'compound': 1.0}",1
132,CSX,CSX,Industrials,Rail Transportation,QQ1,2024,2024-04-17 21:05:24,"{'neg': 0.027, 'neu': 0.709, 'pos': 0.264, 'compound': 1.0}",1
133,CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.033, 'neu': 0.758, 'pos': 0.209, 'compound': 1.0}",1
134,CVS,CVS Health,Health Care,Health Care Services,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.045, 'neu': 0.727, 'pos': 0.228, 'compound': 1.0}",1
135,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,QQ1,2024,2024-05-14 17:00:24,"{'neg': 0.016, 'neu': 0.767, 'pos': 0.217, 'compound': 0.9999}",1
136,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,QQ1,2024,2023-09-21 13:14:09,"{'neg': 0.032, 'neu': 0.751, 'pos': 0.217, 'compound': 1.0}",1
137,DVA,DaVita Inc.,Health Care,Health Care Services,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.025, 'neu': 0.753, 'pos': 0.222, 'compound': 1.0}",1
138,DAY,Dayforce,Industrials,Human Resource & Employment Services,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.019, 'neu': 0.73, 'pos': 0.251, 'compound': 1.0}",1
139,DECK,Deckers Brands,Consumer Discretionary,Footwear,QQ1,2024,2023-07-27 20:35:06,"{'neg': 0.026, 'neu': 0.711, 'pos': 0.263, 'compound': 1.0}",1
140,DE,John Deere,Industrials,Agricultural & Farm Machinery,QQ1,2024,2024-02-15 00:00:00,"{'neg': 0.027, 'neu': 0.756, 'pos': 0.217, 'compound': 1.0}",1
141,DAL,Delta Air Lines,Industrials,Passenger Airlines,QQ1,2024,2024-04-10 13:22:10,"{'neg': 0.023, 'neu': 0.717, 'pos': 0.26, 'compound': 1.0}",1
142,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.018, 'neu': 0.701, 'pos': 0.281, 'compound': 1.0}",1
143,DXCM,Dexcom,Health Care,Health Care Equipment,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.017, 'neu': 0.753, 'pos': 0.23, 'compound': 1.0}",1
144,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.036, 'neu': 0.745, 'pos': 0.219, 'compound': 1.0}",1
145,DLR,Digital Realty,Real Estate,Data Center REITs,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.025, 'neu': 0.761, 'pos': 0.214, 'compound': 1.0}",1
146,DFS,Discover Financial,Financials,Consumer Finance,QQ1,2024,2024-04-18 09:51:09,"{'neg': 0.044, 'neu': 0.75, 'pos': 0.206, 'compound': 0.9997}",1
147,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,QQ1,2024,2023-06-01 00:00:00,"{'neg': 0.035, 'neu': 0.721, 'pos': 0.244, 'compound': 1.0}",1
148,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,QQ1,2024,2024-06-05 11:12:06,"{'neg': 0.037, 'neu': 0.762, 'pos': 0.201, 'compound': 1.0}",1
149,D,Dominion Energy,Utilities,Multi-Utilities,QQ1,2024,2024-05-02 13:31:17,"{'neg': 0.017, 'neu': 0.773, 'pos': 0.21, 'compound': 1.0}",1
150,DPZ,Domino's,Consumer Discretionary,Restaurants,QQ1,2024,2024-04-29 00:00:00,"{'neg': 0.021, 'neu': 0.721, 'pos': 0.258, 'compound': 1.0}",1
151,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.031, 'neu': 0.748, 'pos': 0.221, 'compound': 1.0}",1
152,DOW,Dow Inc.,Materials,Commodity Chemicals,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.031, 'neu': 0.762, 'pos': 0.207, 'compound': 1.0}",1
153,DHI,DR Horton,Consumer Discretionary,Homebuilding,QQ1,2024,2024-01-23 11:18:06,"{'neg': 0.027, 'neu': 0.774, 'pos': 0.199, 'compound': 1.0}",1
154,DTE,DTE Energy,Utilities,Multi-Utilities,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.018, 'neu': 0.714, 'pos': 0.267, 'compound': 1.0}",1
155,DUK,Duke Energy,Utilities,Electric Utilities,QQ1,2024,2024-05-07 00:00:00,"{'neg': 0.009, 'neu': 0.739, 'pos': 0.253, 'compound': 1.0}",1
156,DD,DuPont,Materials,Specialty Chemicals,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.037, 'neu': 0.747, 'pos': 0.217, 'compound': 1.0}",1
157,EMN,Eastman Chemical Company,Materials,Specialty Chemicals,QQ1,2024,2024-04-26 00:00:00,"{'neg': 0.045, 'neu': 0.747, 'pos': 0.208, 'compound': 1.0}",1
158,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.017, 'neu': 0.747, 'pos': 0.235, 'compound': 1.0}",1
159,EBAY,eBay,Consumer Discretionary,Broadline Retail,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.014, 'neu': 0.763, 'pos': 0.223, 'compound': 1.0}",1
160,ECL,Ecolab,Materials,Specialty Chemicals,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.017, 'neu': 0.698, 'pos': 0.285, 'compound': 1.0}",1
161,EIX,Edison International,Utilities,Electric Utilities,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.047, 'neu': 0.738, 'pos': 0.215, 'compound': 1.0}",1
162,EW,Edwards Lifesciences,Health Care,Health Care Equipment,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.024, 'neu': 0.71, 'pos': 0.266, 'compound': 1.0}",1
163,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,QQ1,2024,2023-08-01 20:06:02,"{'neg': 0.025, 'neu': 0.707, 'pos': 0.268, 'compound': 1.0}",1
164,ELV,Elevance Health,Health Care,Managed Health Care,QQ1,2024,2024-04-18 12:19:03,"{'neg': 0.023, 'neu': 0.691, 'pos': 0.286, 'compound': 1.0}",1
165,LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.039, 'neu': 0.758, 'pos': 0.204, 'compound': 1.0}",1
166,EMR,Emerson Electric,Industrials,Electrical Components & Equipment,QQ1,2024,2024-02-07 12:25:07,"{'neg': 0.022, 'neu': 0.727, 'pos': 0.251, 'compound': 1.0}",1
167,ENPH,Enphase,Information Technology,Semiconductor Materials & Equipment,QQ1,2024,2024-04-23 20:43:07,"{'neg': 0.032, 'neu': 0.771, 'pos': 0.196, 'compound': 1.0}",1
168,ETR,Entergy,Utilities,Electric Utilities,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.025, 'neu': 0.756, 'pos': 0.219, 'compound': 1.0}",1
169,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,QQ1,2024,2024-05-03 00:00:00,"{'neg': 0.031, 'neu': 0.695, 'pos': 0.274, 'compound': 1.0}",1
170,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,QQ1,2024,2024-05-09 00:00:00,"{'neg': 0.061, 'neu': 0.743, 'pos': 0.196, 'compound': 1.0}",1
171,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.045, 'neu': 0.725, 'pos': 0.23, 'compound': 1.0}",1
172,EFX,Equifax,Industrials,Research & Consulting Services,QQ1,2024,2024-04-18 15:39:09,"{'neg': 0.025, 'neu': 0.751, 'pos': 0.224, 'compound': 1.0}",1
173,EQIX,Equinix,Real Estate,Data Center REITs,QQ1,2024,2024-05-09 00:00:00,"{'neg': 0.025, 'neu': 0.748, 'pos': 0.227, 'compound': 1.0}",1
174,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.041, 'neu': 0.726, 'pos': 0.232, 'compound': 1.0}",1
175,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.034, 'neu': 0.737, 'pos': 0.229, 'compound': 1.0}",1
176,EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,QQ1,2024,2023-11-01 14:14:09,"{'neg': 0.045, 'neu': 0.695, 'pos': 0.259, 'compound': 1.0}",1
177,ETSY,Etsy,Consumer Discretionary,Broadline Retail,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.034, 'neu': 0.715, 'pos': 0.252, 'compound': 1.0}",1
178,EG,Everest Re,Financials,Reinsurance,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.064, 'neu': 0.712, 'pos': 0.224, 'compound': 1.0}",1
179,EVRG,Evergy,Utilities,Electric Utilities,QQ1,2024,2024-05-09 00:00:00,"{'neg': 0.026, 'neu': 0.781, 'pos': 0.193, 'compound': 1.0}",1
180,ES,Eversource,Utilities,Electric Utilities,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.042, 'neu': 0.728, 'pos': 0.231, 'compound': 1.0}",1
181,EXC,Exelon,Utilities,Electric Utilities,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.038, 'neu': 0.728, 'pos': 0.234, 'compound': 1.0}",1
182,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.023, 'neu': 0.716, 'pos': 0.26, 'compound': 1.0}",1
183,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.031, 'neu': 0.76, 'pos': 0.209, 'compound': 1.0}",1
184,XOM,ExxonMobil,Energy,Integrated Oil & Gas,QQ1,2024,2024-04-27 00:00:00,"{'neg': 0.051, 'neu': 0.694, 'pos': 0.254, 'compound': 1.0}",1
185,FFIV,"F5, Inc.",Information Technology,Communications Equipment,QQ1,2024,2024-01-29 20:00:05,"{'neg': 0.021, 'neu': 0.771, 'pos': 0.208, 'compound': 1.0}",1
186,FDS,FactSet,Financials,Financial Exchanges & Data,QQ1,2024,2023-12-19 14:03:11,"{'neg': 0.026, 'neu': 0.707, 'pos': 0.267, 'compound': 1.0}",1
187,FICO,Fair Isaac,Information Technology,Application Software,QQ1,2024,2024-01-25 00:00:00,"{'neg': 0.023, 'neu': 0.788, 'pos': 0.189, 'compound': 1.0}",1
188,FAST,Fastenal,Industrials,Trading Companies & Distributors,QQ1,2024,2024-04-11 11:19:07,"{'neg': 0.039, 'neu': 0.755, 'pos': 0.206, 'compound': 1.0}",1
189,FRT,Federal Realty,Real Estate,Retail REITs,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.02, 'neu': 0.752, 'pos': 0.228, 'compound': 1.0}",1
190,FDX,FedEx,Industrials,Air Freight & Logistics,QQ1,2024,2023-09-20 21:22:10,"{'neg': 0.023, 'neu': 0.705, 'pos': 0.272, 'compound': 1.0}",1
191,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,QQ1,2024,2024-05-06 00:00:00,"{'neg': 0.023, 'neu': 0.755, 'pos': 0.222, 'compound': 0.9998}",1
192,FITB,Fifth Third Bank,Financials,Diversified Banks,QQ1,2024,2024-04-19 13:11:02,"{'neg': 0.036, 'neu': 0.73, 'pos': 0.234, 'compound': 1.0}",1
193,FSLR,First Solar,Information Technology,Semiconductors,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.048, 'neu': 0.777, 'pos': 0.174, 'compound': 1.0}",1
194,FE,FirstEnergy,Utilities,Electric Utilities,QQ1,2024,2024-04-26 00:00:00,"{'neg': 0.025, 'neu': 0.771, 'pos': 0.204, 'compound': 1.0}",1
195,FI,Fiserv,Financials,Transaction & Payment Processing Services,QQ1,2024,2024-04-23 11:12:09,"{'neg': 0.015, 'neu': 0.714, 'pos': 0.271, 'compound': 1.0}",1
196,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,QQ1,2024,2024-05-07 00:00:00,"{'neg': 0.039, 'neu': 0.759, 'pos': 0.201, 'compound': 1.0}",1
197,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,QQ1,2024,2024-04-24 20:55:17,"{'neg': 0.03, 'neu': 0.75, 'pos': 0.219, 'compound': 1.0}",1
198,FTNT,Fortinet,Information Technology,Systems Software,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.024, 'neu': 0.736, 'pos': 0.24, 'compound': 1.0}",1
199,FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.02, 'neu': 0.704, 'pos': 0.277, 'compound': 1.0}",1
200,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,QQ1,2024,2023-11-02 00:00:00,"{'neg': 0.033, 'neu': 0.749, 'pos': 0.218, 'compound': 1.0}",1
201,FOX,Fox Corporation (Class B),Communication Services,Broadcasting,QQ1,2024,2023-11-02 14:03:02,"{'neg': 0.031, 'neu': 0.741, 'pos': 0.228, 'compound': 1.0}",1
202,BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,QQ1,2024,2024-01-29 00:00:00,"{'neg': 0.019, 'neu': 0.753, 'pos': 0.228, 'compound': 1.0}",1
203,FCX,Freeport-McMoRan,Materials,Copper,QQ1,2024,2024-04-23 12:55:23,"{'neg': 0.029, 'neu': 0.738, 'pos': 0.233, 'compound': 1.0}",1
204,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.036, 'neu': 0.711, 'pos': 0.254, 'compound': 0.9999}",1
205,IT,Gartner,Information Technology,IT Consulting & Other Services,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.025, 'neu': 0.75, 'pos': 0.225, 'compound': 1.0}",1
206,GE,GE Aerospace,Industrials,Aerospace & Defense,QQ1,2024,2024-04-23 12:00:10,"{'neg': 0.023, 'neu': 0.696, 'pos': 0.281, 'compound': 1.0}",1
207,GEHC,GE HealthCare,Health Care,Health Care Equipment,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.033, 'neu': 0.71, 'pos': 0.258, 'compound': 1.0}",1
208,GEV,GE Vernova,Industrials,Heavy Electrical Equipment,QQ1,2024,2024-04-25 13:42:07,"{'neg': 0.029, 'neu': 0.699, 'pos': 0.271, 'compound': 1.0}",1
209,GEN,Gen Digital,Information Technology,Systems Software,QQ1,2024,2023-08-04 18:55:24,"{'neg': 0.037, 'neu': 0.719, 'pos': 0.244, 'compound': 1.0}",1
210,GNRC,Generac,Industrials,Electrical Components & Equipment,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.038, 'neu': 0.737, 'pos': 0.225, 'compound': 1.0}",1
211,GD,General Dynamics,Industrials,Aerospace & Defense,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.044, 'neu': 0.742, 'pos': 0.214, 'compound': 1.0}",1
212,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,QQ1,2024,2023-09-20 11:31:03,"{'neg': 0.026, 'neu': 0.741, 'pos': 0.233, 'compound': 1.0}",1
213,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,QQ1,2024,2024-04-23 12:20:10,"{'neg': 0.027, 'neu': 0.712, 'pos': 0.261, 'compound': 1.0}",1
214,GPC,Genuine Parts Company,Consumer Discretionary,Distributors,QQ1,2024,2024-04-18 11:38:08,"{'neg': 0.019, 'neu': 0.723, 'pos': 0.258, 'compound': 1.0}",1
215,GILD,Gilead Sciences,Health Care,Biotechnology,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.037, 'neu': 0.774, 'pos': 0.188, 'compound': 1.0}",1
216,GPN,Global Payments,Financials,Transaction & Payment Processing Services,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.019, 'neu': 0.728, 'pos': 0.253, 'compound': 1.0}",1
217,GL,Globe Life,Financials,Life & Health Insurance,QQ1,2024,2024-04-23 15:34:09,"{'neg': 0.039, 'neu': 0.767, 'pos': 0.194, 'compound': 1.0}",1
218,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,QQ1,2024,2024-04-15 12:52:08,"{'neg': 0.025, 'neu': 0.727, 'pos': 0.248, 'compound': 1.0}",1
219,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,QQ1,2024,2024-04-23 11:39:10,"{'neg': 0.027, 'neu': 0.696, 'pos': 0.276, 'compound': 1.0}",1
220,HIG,Hartford (The),Financials,Property & Casualty Insurance,QQ1,2024,2024-04-26 00:00:00,"{'neg': 0.044, 'neu': 0.73, 'pos': 0.226, 'compound': 1.0}",1
221,HAS,Hasbro,Consumer Discretionary,Leisure Products,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.027, 'neu': 0.732, 'pos': 0.241, 'compound': 1.0}",1
222,HCA,HCA Healthcare,Health Care,Health Care Facilities,QQ1,2024,2024-04-26 00:00:00,"{'neg': 0.032, 'neu': 0.766, 'pos': 0.202, 'compound': 1.0}",1
223,DOC,Healthpeak,Real Estate,Health Care REITs,QQ1,2024,2024-04-26 00:00:00,"{'neg': 0.032, 'neu': 0.767, 'pos': 0.201, 'compound': 1.0}",1
224,HSIC,Henry Schein,Health Care,Health Care Distributors,QQ1,2024,2024-05-07 00:00:00,"{'neg': 0.029, 'neu': 0.716, 'pos': 0.255, 'compound': 1.0}",1
225,HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,QQ1,2024,2024-05-03 00:00:00,"{'neg': 0.032, 'neu': 0.735, 'pos': 0.234, 'compound': 1.0}",1
226,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",QQ1,2024,2024-02-29 21:32:08,"{'neg': 0.028, 'neu': 0.76, 'pos': 0.212, 'compound': 1.0}",1
227,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.024, 'neu': 0.733, 'pos': 0.243, 'compound': 1.0}",1
228,HOLX,Hologic,Health Care,Health Care Equipment,QQ1,2024,2024-02-01 22:56:03,"{'neg': 0.028, 'neu': 0.719, 'pos': 0.253, 'compound': 1.0}",1
229,HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,QQ1,2024,2024-05-14 00:00:00,"{'neg': 0.041, 'neu': 0.706, 'pos': 0.253, 'compound': 1.0}",1
230,HON,Honeywell,Industrials,Industrial Conglomerates,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.028, 'neu': 0.71, 'pos': 0.262, 'compound': 1.0}",1
231,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,QQ1,2024,2024-02-29 13:54:02,"{'neg': 0.026, 'neu': 0.723, 'pos': 0.25, 'compound': 1.0}",1
232,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.037, 'neu': 0.797, 'pos': 0.166, 'compound': 1.0}",1
233,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.026, 'neu': 0.785, 'pos': 0.189, 'compound': 1.0}",1
234,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",QQ1,2024,2024-02-28 20:02:11,"{'neg': 0.035, 'neu': 0.723, 'pos': 0.242, 'compound': 1.0}",1
235,HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.024, 'neu': 0.751, 'pos': 0.225, 'compound': 1.0}",1
236,HUM,Humana,Health Care,Managed Health Care,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.028, 'neu': 0.746, 'pos': 0.227, 'compound': 1.0}",1
237,HBAN,Huntington Bancshares,Financials,Regional Banks,QQ1,2024,2024-04-19 13:50:25,"{'neg': 0.032, 'neu': 0.717, 'pos': 0.251, 'compound': 1.0}",1
238,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.036, 'neu': 0.773, 'pos': 0.192, 'compound': 0.9999}",1
239,IBM,IBM,Information Technology,IT Consulting & Other Services,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.019, 'neu': 0.749, 'pos': 0.232, 'compound': 1.0}",1
240,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.025, 'neu': 0.757, 'pos': 0.218, 'compound': 1.0}",1
241,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.032, 'neu': 0.682, 'pos': 0.286, 'compound': 1.0}",1
242,ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.022, 'neu': 0.725, 'pos': 0.253, 'compound': 1.0}",1
243,ILMN,Illumina,Health Care,Life Sciences Tools & Services,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.019, 'neu': 0.755, 'pos': 0.225, 'compound': 1.0}",1
244,INCY,Incyte,Health Care,Biotechnology,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.036, 'neu': 0.778, 'pos': 0.185, 'compound': 1.0}",1
245,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,QQ1,2024,2024-05-03 00:00:00,"{'neg': 0.017, 'neu': 0.75, 'pos': 0.233, 'compound': 1.0}",1
246,PODD,Insulet,Health Care,Health Care Equipment,QQ1,2024,2024-05-09 00:00:00,"{'neg': 0.021, 'neu': 0.737, 'pos': 0.241, 'compound': 1.0}",1
